,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
../input/mouse-on-treadmill-frames/frames/039350_left_20cms_0degUP,"[8, 1166]","[1249, 1986]","[2102, 2483]","[2551, 2810]","[2872, 3051]","[3151, 3257]","[3299, 3511]","[3798, 3953]","[4007, 4653]","[4715, 4785]","[4870, 5021]","[5089, 5146]","[5225, 5299]","[5363, 5609]","[5679, 5737]","[5795, 5870]","[5944, 6097]","[6152, 6218]","[6369, 6484]","[6657, 6893]","[7101, 7182]","[7226, 7446]","[7823, 8028]","[8102, 8304]","[8449, 8544]","[8597, 8730]","[8818, 8913]","[9005, 9280]","[9351, 9588]","[9637, 9775]","[9820, 9949]","[10011, 10315]","[10362, 10515]","[10571, 10765]","[10811, 10923]","[10968, 11222]","[11275, 11389]","[11441, 11966]","[12012, 12244]","[12380, 12763]","[12809, 13285]","[13358, 13485]","[13557, 13845]","[13906, 13960]","[14012, 14271]","[14411, 14511]","[14581, 14680]","[14928, 15051]","[15092, 15197]","[15258, 15409]","[15469, 15564]","[15615, 15913]","[16008, 16128]","[16184, 16270]"
../input/mouse-on-treadmill-frames/frames/healthy_NSG336_1_20cms_0degUP,"[80, 1131]","[1175, 1226]","[1264, 4090]","[4199, 4795]","[4843, 6562]","[6617, 6779]","[6854, 6951]","[6987, 7142]","[7201, 7431]","[7470, 8236]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../input/mouse-on-treadmill-frames/frames/039350_left_continue_20cms_0degUP,"[4, 290]","[417, 538]","[588, 685]","[730, 900]","[960, 1404]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../input/mouse-on-treadmill-frames/frames/rightright_039348_2_20cms_0degUP,"[70, 166]","[212, 327]","[578, 708]","[756, 894]","[1011, 1140]","[1202, 1258]","[1305, 1667]","[1724, 1880]","[1954, 2132]","[2182, 2489]","[2551, 2721]","[2871, 2927]","[2972, 3356]","[3411, 3502]","[3541, 4926]","[4973, 5363]","[5555, 5639]","[5685, 5910]","[6133, 6270]","[6339, 6411]","[6454, 6595]","[6638, 6772]","[6810, 7648]","[7775, 8077]","[8150, 8362]","[8425, 8503]","[8769, 8868]","[8948, 9032]","[9115, 9229]","[9282, 9381]",,,,,,,,,,,,,,,,,,,,,,,,
../input/mouse-on-treadmill-frames/frames/039348_left_ninja_2_20cms_0degUP,"[73, 171]","[299, 523]","[605, 1189]","[1402, 1623]","[1664, 1732]","[1814, 1876]","[1937, 2006]","[2051, 2106]","[2230, 2313]","[2414, 2539]","[2585, 2898]","[2980, 3425]","[3563, 3623]","[4018, 4393]","[4500, 4750]","[4805, 5062]","[5170, 5553]","[5608, 5669]","[5847, 5971]","[6081, 6157]","[6206, 6291]","[6442, 6532]","[6617, 6791]","[6970, 7079]","[7146, 7270]","[7428, 7540]","[7583, 7973]","[8035, 8454]","[8508, 8675]","[8738, 8863]","[8910, 9029]","[9080, 9604]","[9656, 11057]","[11164, 11488]","[11526, 11762]","[11898, 12074]","[12287, 12344]","[12427, 12510]","[12687, 12795]","[12867, 12954]","[13075, 13633]",,,,,,,,,,,,,
../input/mouse-on-treadmill-frames/frames/leftleft039348_2_20cms_0degUP,"[1, 181]","[223, 279]","[354, 510]","[558, 851]","[1052, 1183]","[1231, 1361]","[1399, 1710]","[1867, 2062]","[2108, 2325]","[2374, 2667]","[2769, 3582]","[3623, 3830]","[3875, 3990]","[4028, 4413]","[4466, 4632]","[4672, 4783]","[4828, 4938]","[4984, 5081]","[5146, 5241]","[5387, 5869]","[5928, 6103]","[6141, 6613]","[6675, 6947]","[7167, 7360]","[7416, 7570]","[7786, 7853]","[7896, 8035]","[8088, 8308]","[8368, 8572]","[8635, 8694]","[8739, 8950]","[9067, 9154]","[9212, 9425]","[9498, 9607]","[9674, 9925]",,,,,,,,,,,,,,,,,,,
../input/mouse-on-treadmill-frames/frames/right_right_039348_20cms_0degUP,"[2, 70]","[127, 424]","[463, 607]","[660, 732]","[907, 975]","[1050, 1206]","[1252, 1453]","[1516, 1583]","[1622, 1719]","[1770, 2103]","[2143, 2198]","[2246, 2456]","[2497, 2660]","[2708, 2816]","[2871, 2944]","[3024, 3158]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../input/mouse-on-treadmill-frames/frames/healthy_NSG336_3_20cms_0degUP,"[8, 257]","[298, 1654]","[1713, 1816]","[1860, 3289]","[3332, 3423]","[3464, 4167]","[4216, 4411]","[4458, 4988]","[5027, 5445]","[5493, 5572]","[5616, 5796]","[5834, 5942]","[6015, 6559]","[6628, 6730]","[6821, 6934]","[7031, 7168]","[7287, 8336]","[8387, 8527]","[8673, 8841]","[8880, 9083]","[9226, 9291]","[9359, 9477]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../input/mouse-on-treadmill-frames/frames/right_right_039348_3_20cms_0degUP,"[9, 65]","[145, 308]","[406, 1010]","[1066, 1451]","[1531, 1658]","[1728, 1974]","[2070, 2407]","[2543, 2695]","[2945, 3156]","[3374, 3551]","[3588, 3719]","[3778, 4120]","[4166, 4771]","[4812, 4967]","[5043, 5094]","[5139, 5623]","[5665, 5838]","[5888, 5989]","[6052, 6182]","[6229, 6327]","[6411, 6559]","[6609, 6672]","[6838, 6948]","[7019, 7147]","[7213, 7533]","[7577, 8260]","[8299, 9097]","[9134, 9774]","[9919, 10215]",,,,,,,,,,,,,,,,,,,,,,,,,
../input/mouse-on-treadmill-frames/frames/039350_left_left_20cms_0degUP,"[8, 579]","[644, 885]","[931, 1082]","[1134, 1627]","[1740, 2418]","[2465, 2579]","[2626, 3147]","[3203, 3996]","[4039, 4186]","[4247, 4524]","[4596, 4685]","[4723, 4932]","[4989, 5260]","[5306, 5443]","[5483, 5568]","[5612, 5735]","[5941, 6936]","[6979, 7140]","[7194, 7284]","[7415, 7759]","[7797, 8142]","[8210, 8986]","[9029, 9435]","[9507, 9945]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../input/mouse-on-treadmill-frames/frames/036102healthy_continue_20cms_0degUP,"[101, 796]","[961, 1105]","[1164, 1670]","[1730, 1936]","[2078, 2366]","[2457, 2997]","[3053, 3171]","[3217, 3330]","[3393, 3646]","[3695, 3830]","[3960, 4268]","[4380, 4559]","[4635, 5119]","[5261, 5382]","[5465, 5841]","[5890, 5985]","[6028, 6462]","[6530, 6649]","[6730, 6806]","[6863, 7027]","[7091, 7277]","[7321, 7389]","[7574, 7702]","[7819, 7937]","[8099, 8303]","[8355, 8849]","[8896, 8947]","[9008, 9296]","[9449, 9630]","[9704, 9785]","[9878, 10061]","[10132, 10242]","[10323, 10382]","[10434, 10673]","[10718, 10811]","[10901, 10994]","[11049, 11122]","[11295, 11385]","[11455, 11804]","[11849, 11942]","[12202, 12325]","[12683, 12758]",,,,,,,,,,,,
../input/mouse-on-treadmill-frames/frames/left039348_20cms_0degUP,"[2, 70]","[253, 375]","[488, 556]","[605, 707]","[751, 810]","[870, 924]","[982, 1112]","[1175, 1483]","[1523, 2597]","[2654, 2735]","[2789, 2872]","[2918, 3055]","[3103, 3390]","[3787, 4339]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
